#   Isochrone  Z = 0.01340   Y = 0.27222   [M/H] = -0.043   eta_R = 0.200   Age =    2.5119e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.013400   7.4000   0.09000000   0.0900   -2.3245   3.4084   4.3024   10.581   18.845   16.953   15.358   13.319   11.125   8.529   7.961   7.561   1.46765435   0
   0.013400   7.4000   0.09665775   0.0967   -2.2780   3.4135   4.3073   10.465   18.511   16.666   15.076   13.091   10.937   8.423   7.853   7.458   1.53718591   0
   0.013400   7.4000   0.10000000   0.1000   -2.2559   3.4161   4.3101   10.410   18.347   16.526   14.939   12.980   10.846   8.374   7.802   7.410   1.57040203   0
   0.013400   7.4000   0.10003801   0.1000   -2.2557   3.4161   4.3102   10.409   18.345   16.525   14.937   12.979   10.845   8.373   7.802   7.409   1.57077372   0
   0.013400   7.4000   0.11723933   0.1172   -2.1503   3.4274   4.3189   10.146   17.591   15.881   14.305   12.467   10.422   8.134   7.558   7.176   1.72527552   0
   0.013400   7.4000   0.12000000   0.1200   -2.1350   3.4291   4.3206   10.107   17.478   15.784   14.210   12.391   10.359   8.099   7.523   7.143   1.74782515   0
   0.013400   7.4000   0.12510477   0.1251   -2.1073   3.4322   4.3233   10.038   17.287   15.619   14.051   12.261   10.252   8.036   7.458   7.082   1.78811550   0
   0.013400   7.4000   0.14000000   0.1400   -2.0312   3.4405   4.3292   9.848   16.779   15.177   13.629   11.916   9.963   7.861   7.281   6.914   1.89584959   0
   0.013400   7.4000   0.15259197   0.1526   -1.9747   3.4469   4.3357   9.707   16.405   14.848   13.314   11.658   9.750   7.732   7.150   6.791   1.97698760   0
   0.013400   7.4000   0.16000000   0.1600   -1.9431   3.4504   4.3388   9.628   16.198   14.666   13.140   11.514   9.632   7.660   7.076   6.722   2.02115250   0
   0.013400   7.4000   0.18135411   0.1814   -1.8623   3.4590   4.3469   9.426   15.701   14.222   12.705   11.155   9.343   7.477   6.889   6.546   2.13531089   0
   0.013400   7.4000   0.21501419   0.2150   -1.7531   3.4706   4.3578   9.153   15.078   13.658   12.159   10.698   8.970   7.228   6.634   6.306   2.28398967   0
   0.013400   7.4000   0.22652662   0.2265   -1.7199   3.4740   4.3612   9.070   14.898   13.492   11.998   10.562   8.860   7.152   6.556   6.233   2.32774639   0
   0.013400   7.4000   0.23028301   0.2303   -1.7089   3.4751   4.3617   9.042   14.839   13.439   11.946   10.518   8.824   7.127   6.530   6.209   2.34136176   0
   0.013400   7.4000   0.27047095   0.2705   -1.6065   3.4858   4.3719   8.786   14.300   12.935   11.449   10.093   8.490   6.897   6.292   5.986   2.46982408   0
   0.013400   7.4000   0.29881051   0.2988   -1.5435   3.4926   4.3794   8.629   13.978   12.631   11.150   9.836   8.288   6.756   6.145   5.849   2.54459882   0
   0.013400   7.4000   0.30000001   0.3000   -1.5410   3.4929   4.3797   8.622   13.966   12.619   11.138   9.826   8.280   6.750   6.139   5.843   2.54750419   0
   0.013400   7.4000   0.33654013   0.3365   -1.4688   3.5000   4.3859   8.442   13.628   12.299   10.832   9.561   8.061   6.586   5.968   5.682   2.62896562   0
   0.013400   7.4000   0.34999999   0.3500   -1.4447   3.5025   4.3887   8.382   13.519   12.193   10.731   9.473   7.988   6.531   5.910   5.628   2.65552020   0
   0.013400   7.4000   0.35744312   0.3574   -1.4316   3.5039   4.3903   8.349   13.459   12.135   10.676   9.425   7.949   6.501   5.879   5.599   2.66951036   0
   0.013400   7.4000   0.40000001   0.4000   -1.3591   3.5113   4.3964   8.168   13.134   11.821   10.376   9.163   7.732   6.337   5.706   5.436   2.74133730   0
   0.013400   7.4000   0.41818902   0.4182   -1.3301   3.5145   4.3996   8.095   13.006   11.695   10.254   9.056   7.646   6.272   5.638   5.372   2.76832533   0
   0.013400   7.4000   0.44999999   0.4500   -1.2824   3.5198   4.4049   7.976   12.796   11.489   10.055   8.882   7.504   6.165   5.526   5.266   2.81098008   0
   0.013400   7.4000   0.45709506   0.4571   -1.2716   3.5211   4.4059   7.949   12.749   11.442   10.009   8.841   7.473   6.141   5.501   5.242   2.81979465   0
