#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   0.09148076   0.0915   -2.1516   3.3847   4.0418   10.149   18.580   17.021   15.528   13.391   11.100   8.061   7.514   7.047   1.48352957   0
   0.021238   7.1000   0.10296151   0.1030   -2.0787   3.3925   4.0515   9.967   18.120   16.599   15.111   13.044   10.807   7.891   7.342   6.888   1.59892321   0
   0.021238   7.1000   0.12296151   0.1230   -1.9652   3.4048   4.0640   9.683   17.394   15.937   14.459   12.503   10.351   7.628   7.076   6.639   1.77141464   0
   0.021238   7.1000   0.12957451   0.1296   -1.9316   3.4085   4.0682   9.599   17.173   15.736   14.261   12.339   10.214   7.550   6.998   6.566   1.82194996   0
   0.021238   7.1000   0.15258063   0.1526   -1.8262   3.4204   4.0811   9.335   16.474   15.105   13.637   11.824   9.782   7.307   6.750   6.337   1.97691798   0
   0.021238   7.1000   0.15468022   0.1547   -1.8175   3.4214   4.0825   9.314   16.415   15.052   13.585   11.781   9.746   7.287   6.730   6.318   1.98968744   0
   0.021238   7.1000   0.16482295   0.1648   -1.7762   3.4259   4.0869   9.211   16.143   14.807   13.343   11.581   9.578   7.192   6.633   6.228   2.04857278   0
   0.021238   7.1000   0.17341246   0.1734   -1.7442   3.4297   4.0922   9.131   15.923   14.608   13.148   11.420   9.444   7.118   6.559   6.159   2.09495950   0
   0.021238   7.1000   0.18765047   0.1877   -1.6929   3.4357   4.0990   9.002   15.600   14.314   12.867   11.187   9.245   6.999   6.437   6.047   2.16573262   0
   0.021238   7.1000   0.20198914   0.2020   -1.6449   3.4413   4.1055   8.882   15.301   14.041   12.607   10.969   9.061   6.888   6.324   5.943   2.23039031   0
   0.021238   7.1000   0.21420336   0.2142   -1.6078   3.4459   4.1121   8.789   15.070   13.830   12.404   10.800   8.918   6.802   6.236   5.863   2.28078580   0
   0.021238   7.1000   0.23416911   0.2342   -1.5486   3.4533   4.1214   8.642   14.708   13.495   12.079   10.528   8.693   6.666   6.097   5.736   2.35512686   0
   0.021238   7.1000   0.25540289   0.2554   -1.4904   3.4607   4.1306   8.496   14.364   13.173   11.763   10.262   8.477   6.534   5.959   5.611   2.42510009   0
   0.021238   7.1000   0.27540556   0.2754   -1.4425   3.4665   4.1384   8.376   14.103   12.926   11.526   10.061   8.309   6.424   5.844   5.506   2.48366809   0
