#   Isochrone  Z = 0.00424   Y = 0.25643   [M/H] = -0.558   eta_R = 0.200   Age =    5.0120e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.004237   8.7000   0.09000000   0.0900   -3.1869   3.4243   5.2284   12.737   21.643   19.058   17.076   14.886   12.690   10.653   10.198   9.950   1.46765435   0
   0.004237   8.7000   0.09295306   0.0930   -3.1503   3.4295   5.2267   12.646   21.274   18.774   16.811   14.700   12.552   10.577   10.113   9.861   1.49907506   0
   0.004237   8.7000   0.09885380   0.0989   -3.0683   3.4415   5.2194   12.441   20.527   18.166   16.260   14.299   12.251   10.406   9.922   9.666   1.55913055   0
   0.004237   8.7000   0.10000000   0.1000   -3.0497   3.4442   5.2164   12.394   20.362   18.031   16.137   14.210   12.184   10.366   9.879   9.622   1.57040203   0
   0.004237   8.7000   0.12000000   0.1200   -2.8180   3.4733   5.1804   11.815   18.502   16.517   14.731   13.150   11.414   9.872   9.347   9.083   1.74782515   0
   0.004237   8.7000   0.14000000   0.1400   -2.6347   3.4921   5.1391   11.357   17.289   15.517   13.793   12.396   10.862   9.470   8.928   8.665   1.89584959   0
   0.004237   8.7000   0.16000000   0.1600   -2.5060   3.5047   5.1192   11.035   16.532   14.881   13.202   11.901   10.493   9.185   8.634   8.375   2.02115250   0
   0.004237   8.7000   0.18059008   0.1806   -2.3916   3.5143   5.0957   10.749   15.939   14.374   12.730   11.491   10.177   8.927   8.369   8.115   2.13152766   0
   0.004237   8.7000   0.20000000   0.2000   -2.2934   3.5225   5.0743   10.504   15.456   13.956   12.343   11.150   9.909   8.705   8.142   7.892   2.22178221   0
   0.004237   8.7000   0.22426210   0.2243   -2.1939   3.5296   5.0529   10.255   15.016   13.567   11.984   10.827   9.644   8.476   7.909   7.663   2.31938624   1
   0.004237   8.7000   0.25000000   0.2500   -2.0987   3.5363   5.0318   10.017   14.614   13.208   11.653   10.526   9.393   8.257   7.685   7.444   2.40809011   1
   0.004237   8.7000   0.30000001   0.3000   -1.9484   3.5460   4.9994   9.641   14.017   12.666   11.152   10.063   9.001   7.908   7.331   7.095   2.54750419   1
   0.004237   8.7000   0.30563638   0.3056   -1.9284   3.5469   4.9913   9.591   13.946   12.601   11.091   10.005   8.949   7.860   7.283   7.047   2.56103921   1
   0.004237   8.7000   0.34999999   0.3500   -1.7992   3.5553   4.9543   9.268   13.452   12.148   10.670   9.614   8.616   7.561   6.977   6.747   2.65552020   0
