#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
255.85078665343  4.16792E-23 
258.40929451997  1.20776E-22 
263.60332133982  4.06767E-22 
266.23935455322  1.45786E-21 
271.59076557974  5.70922E-21 
277.04973996789  2.13855E-20 
282.61843974125   8.6625E-20 
288.29907038004  3.75616E-19 
294.09388169468  1.53253E-18 
300.00516871675  4.76439E-18 
306.03527260795  2.19254E-17 
315.30844740325  1.73095E-16 
324.86260866801  1.20866E-15 
334.70627057326  7.52479E-15 
344.8482052779  4.22725E-14 
355.29745074603  1.84326E-13 
362.43892950602  7.47044E-13 
373.42119150899  2.82524E-12 
384.7362270329  1.15204E-11 
392.46942519626  4.36672E-11 
404.36164124913  1.55031E-10 
412.48931023824  4.59735E-10 
420.78034537403   1.16065E-9 
429.23803031605   2.82497E-9 
437.8657147254   9.12976E-9 
446.66681559138   2.51634E-8 
455.64481858477   6.02841E-8 
469.4513122327   1.52815E-7 
478.88728360858   3.72135E-7 
488.51291800911   8.73259E-7 
498.3320276611   1.97618E-6 
503.31534793771    2.0601E-5 
508.34850141708   4.63281E-5 
518.56630629557   7.86718E-5 
528.98948905211  0.000151296 
539.62217778206     0.000273 
545.01839955988  0.000510897 
555.97326939103  0.000906806 
567.14833210579   0.00158194 
578.54801358112   0.00258101 
584.33349371693   0.00448019 
596.07859694064   0.00737732 
608.05977673914    0.0119985 
614.14037450653    0.0190521 
626.48459603412    0.0298935 
639.0769364144    0.0458293 
645.46770577855    0.0703475 
651.92238283633     0.097697 
658.44160666469     0.129003 
671.67628295866     0.189959 
678.39304578824      0.27737 
692.02874600859     0.401881 
698.94903346867     0.573032 
712.99790904139     0.837593 
720.12788813181      1.17191 
734.60245868325      1.56864 
741.94848327009       2.1565 
749.36796810279      2.93619 
764.43026426165      3.95768 
772.07456690427      5.31106 
779.79531257331       7.0605 
787.59326569905      9.28556 
803.4238903396      12.1741 
811.45812924299      15.8236 
819.57271053542      20.4261 
827.76843764078      26.0071 
844.40658323736      33.4107 
852.85064906973      42.2821 
861.37915556043      53.3858 
