#  WAVELENGTH	        FLUX	
#  (ANGSTROM)	(ERG/CM2/S/A)	
############	############	
596.07859694064  9.93836E-25 
608.05977673914  3.26372E-24 
614.14037450653  1.02836E-23 
626.48459603412  3.11817E-23 
639.0769364144  9.11804E-23 
645.46770577855  2.57434E-22 
651.92238283633  5.76462E-22 
658.44160666469  1.14572E-21 
671.67628295866  2.98457E-21 
678.39304578824  7.55258E-21 
692.02874600859  1.85532E-20 
698.94903346867  4.41336E-20 
712.99790904139  1.12243E-19 
720.12788813181  2.54317E-19 
734.60245868325  5.20335E-19 
741.94848327009  1.12729E-18 
749.36796810279  2.39048E-18 
764.43026426165  4.96912E-18 
772.07456690427  1.01009E-17 
779.79531257331  2.01795E-17 
787.59326569905  3.91157E-17 
803.4238903396  7.56047E-17 
811.45812924299   1.4358E-16 
819.57271053542  2.67089E-16 
827.76843764078  4.88728E-16 
844.40658323736  8.80535E-16 
852.85064906973  1.56304E-15 
861.37915556043    2.734E-15 
869.99294711603  4.70266E-15 
878.69287658719  8.02835E-15 
887.47980535306  1.34918E-14 
896.3546034066   2.2381E-14 
914.37133093507  2.07173E-11 
923.51504424442  7.84701E-11 
932.75019468686  1.17433E-10 
942.07769663373  2.02475E-10 
951.49847360007  3.22748E-10 
961.01345833607  5.28105E-10 
970.62359291943  7.71513E-10 
980.32982884862   1.19528E-9 
990.13312713711   1.81302E-9 
1000.0344584085   2.92119E-9 
1010.0348029926   4.32157E-9 
1020.1351510225   6.32028E-9 
1030.3365025327   1.00085E-8 
1040.639867558   1.49505E-8 
1051.0462662336   2.08835E-8 
1061.556728896   3.11919E-8 
1072.1722961849   4.60079E-8 
1082.8940191468   6.55071E-8 
1093.7229593382   9.02939E-8 
1104.6601889316  1.500265E-7 
1115.7067908209   2.55824E-7 
1126.8638587291   3.65231E-7 
1138.1324973164   5.06637E-7 
1149.5138222896     7.051E-7 
1161.0089605125   9.63014E-7 
1172.6190501176   1.31837E-6 
1184.3452406188   2.03561E-6 
1196.188693025   2.97747E-6 
1208.1505799552   2.97434E-6 
1220.2320857548    5.2738E-6 
